,BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
7045,MANHATTAN,410 Tenth Avenue,10001.0,1,2023-04-08 00:00:00,N,N,N,N,N,N,N,N,,40.754112,-73.999462,4.0,3.0,103.0
7050,MANHATTAN,515 WEST END AVENUE,10024.0,1,2020-06-17 00:00:00,N,N,N,N,N,N,N,N,Y,40.788052,-73.978477,7.0,6.0,171.0
7051,MANHATTAN,140 EAST 45TH STREET,10017.0,1,2022-06-11 00:00:00,N,N,N,N,N,N,N,N,,40.753157,-73.974172,6.0,4.0,92.0
7052,MANHATTAN,350 W. 39th Street,10018.0,1,2020-09-18 00:00:00,N,N,N,N,N,N,N,N,,40.755932,-73.992626,4.0,3.0,115.0
7053,MANHATTAN,510 west 110 Street,10025.0,1,2020-04-29 00:00:00,N,N,N,N,N,N,N,N,,40.803394,-73.964891,7.0,7.0,195.0
7058,MANHATTAN,10 Waterside Plaza,10010.0,1,2023-08-09 00:00:00,N,N,N,N,N,N,N,N,,40.737152,-73.974243,6.0,4.0,62.0
7060,MANHATTAN,72 fifth avenue,10011.0,1,2023-09-14 00:00:00,N,N,N,N,N,N,N,N,,40.73542,-73.994053,2.0,3.0,63.0
7063,MANHATTAN,419 WEST   34 STREET,10001.0,1,2020-08-20 00:00:00,N,N,N,N,N,N,N,N,Y,40.75372,-73.997076,4.0,3.0,111.0
7067,MANHATTAN,235 W 102 ST,10025.0,1,2021-07-09 00:00:00,N,N,N,N,N,N,N,N,,40.798669,-73.969437,7.0,6.0,191.0
7068,BROOKLYN,33 Bond Street,11201.0,1,2022-04-27 00:00:00,N,N,N,N,N,N,N,N,,40.688643,-73.983658,2.0,33.0,37.0
7075,MANHATTAN,511 EAST 20 STREET,10010.0,1,2021-08-24 00:00:00,N,N,N,N,N,N,N,N,,40.733824,-73.97734,6.0,4.0,60.0
7076,MANHATTAN,580 8th Avenue,10018.0,1,2020-06-09 00:00:00,N,N,N,N,N,N,N,N,,40.754952,-73.991442,5.0,3.0,113.0
7077,MANHATTAN,800 third ave,10022.0,1,2023-04-22 00:00:00,N,N,N,N,N,N,N,N,,40.755341,-73.971124,6.0,4.0,100.0
7083,MANHATTAN,435 HUDSON STREET,10014.0,1,2023-04-01 00:00:00,N,N,N,N,N,N,N,N,,40.730587,-74.006805,2.0,3.0,69.0
7084,MANHATTAN,220 East 24 Street,10010.0,1,2020-12-24 00:00:00,N,N,N,N,N,N,N,N,,40.739012,-73.981535,6.0,2.0,64.0
7086,MANHATTAN,500 Riverside Drive,10027.0,2,2022-09-09 00:00:00,N,N,N,N,N,N,N,N,,40.814556,-73.962475,9.0,7.0,211.0
7088,MANHATTAN,371 Seventh avenue,10001.0,1,2024-11-14 00:00:00,N,N,N,N,N,N,N,N,,40.748806,-73.992204,5.0,3.0,101.0
7092,BROOKLYN,140 Saint Edwards Street,11201.0,1,2020-07-29 00:00:00,N,N,N,N,N,N,N,N,,40.692375,-73.977643,2.0,35.0,31.0
7093,MANHATTAN,115 EAST 90 STREET,10128.0,1,2023-11-13 00:00:00,N,N,N,N,N,N,N,N,,40.782432,-73.954585,8.0,4.0,14802.0
